address,allocation
0xd6538f11f5b4c148f895e52658d337f4489d8d73,512
0xa0d55039834d2373014b66a322b49e32f4869f49,512
0x87b008e57f640d94ee44fd893f0323af933f9195,512
0xc44505d1111ec42279aede122a77cba17359438d,512
0xa9f153d96fd06fac8b76759f42ea2f6174ce4e0c,512
0x0eabffd8ce94ab2387fc44ba32642af0c58af433,512
0x8820768caedc113ba97dd749d948ad0fd91c52b6,512
0x58d0f3da9c97de3c39f481e146f3568081d328a2,512
0xd7cd2169e4dff6aa8a611b16f659c104e20af9e6,512
0xf24f63889b16fb1a8edf0f0b4e84a661ba13e1cf,512
0x7e461d582a6286ec922b5863453d8c19c2aafe8e,512
0x26921a182cf9d6f33730d7f37e1a86fd430863af,512
0x6d7db76ded29cd50a238b19b9249ac6f41bb1f0f,512
0xa468ff763530d9f7c1355c6c92e2e0e402eacbe6,512
0xc6c3752bdab737b8cfa174e6ecfa620ec0cc162e,512
0x1182c57e661750983dc6d74ce1ca9796abe9234e,512
0x65b9386c8d3aabc81dd9d1f05b3e4322aa390708,512
0x854865641338fc2e4273d149a08664b5e3237429,512
0x105badbbd9fe1ea1039dcaf217b5537c7bd53c20,512
0x98c923b40c3612a143e5b97a61582cf7e1dc7a0a,512
0x24435205eaf97df22b6f2a2463ba039497596ba4,512
0x7b184eee29c197502adfb8a10ff557a188bd28f6,512
0xf41b22cd4cbbd43315809e15a25362d359bfdb21,512
0xc6a3ba879a5e806841f82faa1b312952c468bf2e,512
0x150d4f19e2f26e067fbb3e3fd6f56fc6bcb9d5b6,512
0xdbf14da8949d157b57acb79f6eee62412b210900,512
0xd1349b97b644537f96f72e0572c3cc960b8ae672,512
0x0526eca4fc2f1d3884bf4f053623d75bf9a4e6a0,512
0x480c761ad99ed9c1fca5982fc59ec05e89798eaa,512
0xa9a677bc6f57c532c51acbe5c82dcb4d1776e9f1,512
0x6c3f68d674abf0a5c1c6b7afe6c9bcc74fd37669,512
0xb88f65bd2493ba8e4fc15d9d0c3905d16874e9bc,512
0x48915685c7b2e45dec99e7d40df7331646dd1856,512
0x6d4b4a267bd89cd93bbb69d216eb26971856a901,512
0x5080fda2a93078ded890d8591aebcea7f345c492,512
0x7c7d093b4fb96c89fcc29cd4c24c15db0ed669df,512
0x714696c5a872611f76655bc163d0131cbac60a70,512
0xbb60f9f245505f3d132974169be1c01aa68f66f7,512
0xb8d7b045d299c9c356bc5ee4fe2dddc8a31280a5,512
0x415a6f24e55903391c2c41067193d527843f0409,512
0x0bf2d474fbb979b9bccc163667396025a0eb12a3,512
0x4872ecebf81d8826265ada89b73a8bc0a8c4b7b3,512
0x535e9d69758b9cb3dfbdb3691808487619eaa30a,512
0x8da29a7b1f8a2f7c47f6a89cab6e4c76d3754581,512
0x8886dca35291f05ed5d8e21f083998ea8dceb50f,512
0x27ea6374f4467b520877c3c53d3225278e762fc1,512
0xc7c065ee9e71364a0c72a8a9c26c95c42b94e7f7,512
0xf05b31c701385b354d67b5d1a28c69f471d6ddb4,512
0x4744cda32be7b3e75b9334001da9ed21789d4c0d,512
0xf521bb7437bec77b0b15286dc3f49a87b9946773,512
0x5ddcaccfb919cb3ccc7f71fa3629ea7c880e5db7,512
0x2397d082ee03799e43923f3cd4da3188a0529bbd,512
0x8b104344f397afc33ee55c743a0fbd7d956201cd,512
0x0cffa84427ec88a40a0b70425db53d666a62caf7,512
0xdda652dabdd7c9a50cc1fe389b6ae93570539b82,512
0x9322c6ccbce9fcc9bdc45fe2830704907330454d,512
0xad1cbe6fcab49120273df0c308f6c1b094fbfb57,512
0x47d6f96ba098816389db7c87cbf077de7181b853,512
0x488cb7d6f7596accf0544913aa9e0d0f38f315f4,512
0x412b52644c50aa6b4d704318db37537a33fc01b2,512
0x47e2bc7475ef8a9a5e10aef076da53d3c446291e,512
0xf4c64db66ffb301985f5ecd85c8f3f9c02f2659d,512
0xbde4a5a01156d3fb95e0251931deba416b2d70c3,512
0x3d5f1ad033c4e7c6a6d433d50d694c488dcaebcf,512
0xbb1fd42d149a2ff8d36096802285cf0768741046,512
0xda5658b452230e02fe40fd79824be7ca4ead74ce,512
0x4b344c0277f78a52b126612b128d58a4c3736050,512
0x1efed205caede27da1135cd37a4192861a51100e,512
0x8b3dc5fd44a152612e91b1d9a8030539ef6bd33a,512
0xe173e8feef31aa143218810087ff6a1a8166e537,512
0x68a94d96febd20059ee822f06db404d8b5de1c93,512
0xb278ada59e7af95a0c3de7699d8946b853f1e38a,512
0x0064b4282b475f5c00ecf6a00f069ed81a50f8e0,512
0xf73c3c65bde10bf26c2e1763104e609a41702efe,512
0xcf9741bbce8ba8ec2b0dc8f23399a0bcf5c019d5,512
